ils_unit_id,scope,unit,source,confirmed_on,note
1455098,SF222,12230 - Main,proposed: matched on unit id,,SF222 – Montrose Duplex for Rent | 4-Bed 2.5-Bath Main Floor | 12228 60 St NW Ed
1578065,SF223,Bsmt,proposed: matched on unit id,,SF223 | 3 Bed 1 Bath Bsmt Suite in Newton NW
1560846,SF223,Bsmt - G2,proposed: matched on unit id,,SF223 – 2 Bed 1 Bath Garden suites in Newton 12021 55 Street
1455101,SF223,Upper G1,proposed: matched on unit id,,SF223 - Modern 4-Bedroom Units in Newton – 1 Month Free on 13-Month Lease – SF22
1537812,SF224,Main,proposed: matched on unit id,,SF224 – Newton Duplex for Rent | 4-Bed 2.5-Bath Main Floor | 12025 55 St NW Edmo
1471822,SF225,12521 Bsmt,proposed: matched on unit id,,SF225 – Elmwood Park Duplex for Rent | 3-Bed Basement | 12521 77 St NW Edmonton 
1577520,SF225,Upper G3,proposed: matched on unit id,,"SF225 – 2 Bed 1 Bath Garden Suite in Elmwood Park, NE Edmonton | 12521 77 Street"
1532439,SF226,12525 - Main,proposed: matched on unit id,,SF226 – Elmwood Park Duplex for Rent | 4-Bed 2.5-Bath Main Floor | 12525 77 St N
1537435,SF227,12030 - G,proposed: matched on unit id,,SF227 – 1 Bed +Loft 1 Bath Garden suites in Newton | 12030 54 St NW Edmonton
1563707,SF227,12030 - G,proposed: matched on unit id,,"SF227 | 1 Month Free – 4 Bed, 2.5 Bath Main Floor Home – Lauderdale"
1563707,SF227,12030 Bsmt,proposed: matched on unit id,,"SF227 | 1 Month Free – 4 Bed, 2.5 Bath Main Floor Home – Lauderdale"
1563707,SF227,12030 Main,proposed: matched on unit id,,"SF227 | 1 Month Free – 4 Bed, 2.5 Bath Main Floor Home – Lauderdale"
1537435,SF227,12032 G,proposed: matched on unit id,,SF227 – 1 Bed +Loft 1 Bath Garden suites in Newton | 12030 54 St NW Edmonton
1532429,SF228,11205 Main,proposed: matched on unit id,,SF228 | Spacious 4 Bedroom Main Floor Home in Bellevue   – Central Edmonton
1565235,SF229,12035 - Bsmt,proposed: matched on unit id,,"SF229 | 1 MONTH FREE | 3 Bed, 1 Bath Basement Suite | Montrose"
1455130,SF229,12035 - Garden,proposed: matched on unit id,,SF229 | 1 Month Free – Cozy 1 Bedroom Garden Suite | Prime Central Location
1565235,SF229,12037 Bsmt,proposed: matched on unit id,,"SF229 | 1 MONTH FREE | 3 Bed, 1 Bath Basement Suite | Montrose"
1455130,SF229,12037 Garden,proposed: matched on unit id,,SF229 | 1 Month Free – Cozy 1 Bedroom Garden Suite | Prime Central Location
1454970,SF23,#211,proposed: matched on unit id,,SF23 - 2 Bedroom 2 Bathroom at The Imperial -
1537737,SF230,11945  - G,proposed: matched on unit id,,SF230 | 1 Bed + Loft 1 Bath Garden Suite in Newton| 11945 56 St NW
1537737,SF230,11947 G,proposed: matched on unit id,,SF230 | 1 Bed + Loft 1 Bath Garden Suite in Newton| 11945 56 St NW
1561852,SF231,11350 - Bsmt,proposed: matched on unit id,,SF231 – Newton Duplex for Rent | 3-Bed Basement Suite + Garage | 11354 53 St NW 
1561852,SF231,11354 Bsmt,proposed: matched on unit id,,SF231 – Newton Duplex for Rent | 3-Bed Basement Suite + Garage | 11354 53 St NW 
1519284,SF234,12208 Bsmt,proposed: matched on unit id,,SF234 | 3 Bed 1 Bath Basement unit in Newton | 12208/12210 57 Street
1519284,SF234,12210 Bsmt,proposed: matched on unit id,,SF234 | 3 Bed 1 Bath Basement unit in Newton | 12208/12210 57 Street
1560678,SF236,Bsmt,proposed: matched on unit id,,SF236 - 3 Bed 1Bath  Basement Suite – Highlands
1455077,SF237,202,proposed: matched on unit id,,SF237 – Beverly Heights Rental | 1-Bed &amp; 2-Bed Suites | 3611 118 Ave NW Edmo
1454952,SF24,#310,proposed: matched on unit id,,SF24 - 2 Bedroom 2 Bath in Willowhaven -
1455106,SF240,12034 - G1,proposed: matched on unit id,,SF240 –1-Bed + Loft 1 Bath Garden suite in Beacon Heights | 12034 41 St NW Edmon
1465689,SF243,1503,proposed: matched on unit id,,SF247 - 1 MONTH FREE - Modern 4 Bedroom - 2.5 Bathroom Townhouse with Double Car
1455053,SF252,206,proposed: matched on unit id,,"SF252 - 2 Bedroom, 2 Bathroom Condo"
1455053,SF252,206,proposed: matched on unit id,,"SF252 - 2 Bedroom, 2 Bathroom Condo"
1455076,SF252,307,proposed: matched on unit id,,"SF283 - 2 Bed 2 Bath Condo in Secord, West Edmonton"
1455128,SF256,110,proposed: matched on unit id,,SF266 -  3-Bedroom 3 Bathroom Townhouse in Secord |
1461520,SF256,49,proposed: matched on unit id,,SF256 - 3 Bed 2.5 Bath Townhouse in Secord | SF256
1461520,SF256,49,proposed: matched on unit id,,SF256 - 3 Bed 2.5 Bath Townhouse in Secord | SF256
1455121,SF256,71,proposed: matched on unit id,,"SF302 – 3 Bed | 2.5 Bath Townhouse in Secord, West Edmonton | #71, 1025 Secord P"
1455094,SF259,13925,proposed: matched on unit id,,SF259 - 4 Bed 4 Bath Townhouse in  Glenora Townhome – 13927 102 Ave NW
1556560,SF262,127,proposed: matched on unit id,,"SF262 - 2 Bedroom, 1.5 Bathroom Townhome in Tamarack SE Edmonton"
